layout, probability, opt cond exp dist, cond exp dist storm
layout/5_10x10_7.lay, 1.0, 2.2186282693959507, 22.336713306801393
layout/4_10x10_16.lay, 1.0, 3.6605490697645284, 5711.758213928494
layout/3_10x10_6.lay, 0.739468265434978, 6.765823463010559, 8153.341835425942
layout/5_10x10_0.lay, 1.0, 2.398497267759563, 12.11661591073561
layout/2_10x10_17.lay, 1.0, 6.31185988461774, 28642.861024258455
layout/3_10x10_14.lay, 0.521889745355396, 299.7474844909344, 629.1578620186731
layout/1_10x10_4.lay, 1.0, 2.903249935760769, 10.381804319638443
layout/1_10x10_9.lay, 1.0, 10.918988957929551, 16591.378814153264
layout/5_10x10_18.lay, 0.9090310622304746, 9.556727235843306, 97.61504417258757
layout/4_10x10_6.lay, 0.9090909090558597, 9.941083299119638, 1999881.8836430544
